building_address,building_lat,building_lng,intersection_id,intersection_lat,intersection_lng,shortest_distance_meters
236 Livingston Street,40.6889559,-73.9849672,3026465132,40.6936053,-73.9833753,997.3770000000001
236 Livingston Street,40.6889559,-73.9849672,3536386693,40.6932538,-73.9862175,712.2370000000001
236 Livingston Street,40.6889559,-73.9849672,4526565698,40.693721,-73.9834313,1414.0000000000002
236 Livingston Street,40.6889559,-73.9849672,4735727610,40.6922318,-73.9872962,508.00500000000005
236 Livingston Street,40.6889559,-73.9849672,5009155051,40.694921,-73.9860671,904.772
236 Livingston Street,40.6889559,-73.9849672,6933321234,40.6910987,-73.9891992,443.14700000000005
236 Livingston Street,40.6889559,-73.9849672,6993160951,40.6936085,-73.9842856,920.6290000000001
236 Livingston Street,40.6889559,-73.9849672,10001058440,40.6949359,-73.988697,872.9820000000002
236 Livingston Street,40.6889559,-73.9849672,11381945329,40.695257,-73.9886807,908.7130000000002
236 Livingston Street,40.6889559,-73.9849672,11381945330,40.6961114,-73.9885861,1004.1690000000002
350 Livingston Street,40.6872205,-73.9806443,42464631,40.6920559,-73.9826228,683.366
350 Livingston Street,40.6872205,-73.9806443,42464823,40.6921704,-73.9891263,885.284
350 Livingston Street,40.6872205,-73.9806443,42464824,40.6918024,-73.9882134,816.948
350 Livingston Street,40.6872205,-73.9806443,42464827,40.6914546,-73.9873387,733.675
350 Livingston Street,40.6872205,-73.9806443,42464832,40.690663,-73.9853532,761.28
350 Livingston Street,40.6872205,-73.9806443,42464834,40.690561,-73.985105,785.082
350 Livingston Street,40.6872205,-73.9806443,42464836,40.690292,-73.984433,849.151
350 Livingston Street,40.6872205,-73.9806443,42464838,40.6901448,-73.9840629,427.694
350 Livingston Street,40.6872205,-73.9806443,42464844,40.6897015,-73.9829511,319.85300000000007
350 Livingston Street,40.6872205,-73.9806443,42464847,40.689358,-73.982098,238.41200000000003
350 Livingston Street,40.6872205,-73.9806443,42464848,40.6889411,-73.9810499,338.206
350 Livingston Street,40.6872205,-73.9806443,42466438,40.6887841,-73.9835721,205.978
350 Livingston Street,40.6872205,-73.9806443,42469226,40.6932563,-73.9881544,979.6099999999999
350 Livingston Street,40.6872205,-73.9806443,42469228,40.6922794,-73.9881997,870.9169999999999
350 Livingston Street,40.6872205,-73.9806443,42480566,40.693036,-73.984292,1169.1629999999998
350 Livingston Street,40.6872205,-73.9806443,42480569,40.6930502,-73.9852301,1090.0549999999998
350 Livingston Street,40.6872205,-73.9806443,42480571,40.693088,-73.986226,1005.9829999999998
350 Livingston Street,40.6872205,-73.9806443,42481889,40.6949665,-73.987162,1124.4999999999998
350 Livingston Street,40.6872205,-73.9806443,42491554,40.6959659,-73.9845903,1458.0949999999998
350 Livingston Street,40.6872205,-73.9806443,42491582,40.6911662,-73.9821756,789.237
350 Livingston Street,40.6872205,-73.9806443,42491585,40.6899297,-73.9815542,494.845
350 Livingston Street,40.6872205,-73.9806443,42491589,40.688761,-73.980843,364.765
350 Livingston Street,40.6872205,-73.9806443,42492210,40.6904673,-73.9878775,614.396
350 Livingston Street,40.6872205,-73.9806443,42492213,40.6898629,-73.9882859,689.91
350 Livingston Street,40.6872205,-73.9806443,42494919,40.6922042,-73.9862727,787.807
350 Livingston Street,40.6872205,-73.9806443,42494920,40.6921587,-73.9852776,776.74
350 Livingston Street,40.6872205,-73.9806443,42494921,40.6921272,-73.9843423,697.806
350 Livingston Street,40.6872205,-73.9806443,42494924,40.6920899,-73.9833969,617.99
350 Livingston Street,40.6872205,-73.9806443,42496432,40.691039,-73.9894028,758.0899999999999
350 Livingston Street,40.6872205,-73.9806443,42497737,40.6960551,-73.9871076,1245.6349999999998
350 Livingston Street,40.6872205,-73.9806443,42502404,40.689222,-73.9846917,312.196
350 Livingston Street,40.6872205,-73.9806443,42510861,40.6901632,-73.9870995,540.597
350 Livingston Street,40.6872205,-73.9806443,42515825,40.6903899,-73.9898327,838.9229999999999
350 Livingston Street,40.6872205,-73.9806443,42523094,40.6890086,-73.9861587,489.655
350 Livingston Street,40.6872205,-73.9806443,42523684,40.6896291,-73.985733,410.976
350 Livingston Street,40.6872205,-73.9806443,42523688,40.688451,-73.9827164,124.87700000000001
350 Livingston Street,40.6872205,-73.9806443,42523691,40.6879371,-73.9813995,0.0
350 Livingston Street,40.6872205,-73.9806443,42523903,40.6905587,-73.9826854,869.304
350 Livingston Street,40.6872205,-73.9806443,278630368,40.692096,-73.9889495,868.236
350 Livingston Street,40.6872205,-73.9806443,278630910,40.6909958,-73.9892384,743.42
350 Livingston Street,40.6872205,-73.9806443,278631323,40.6903367,-73.9896591,854.7099999999999
350 Livingston Street,40.6872205,-73.9806443,278632281,40.6925287,-73.9888795,916.808
350 Livingston Street,40.6872205,-73.9806443,278632502,40.6950187,-73.9886923,1194.393
350 Livingston Street,40.6872205,-73.9806443,278632503,40.6961134,-73.988653,1316.2030000000002
